division,when,team1,team2,time_tot,win,hurdles,name1,start_chng1,time1,name2,start_chng2,time2,name3,start_chng3,time3,name4,start_chng4,time4,event,course_color
1,2020-01-01 10:11:57,WildRunners dreamers,WildRunners Maximini,17.01,L,25.0,Sunny,-0.24,4.21,Dixie,0.3,4.24,Alex,0.16,4.22,Hector,0.0,4.13,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:11:57,WildRunners Maximini,WildRunners dreamers,19.43,L,25.0,Brooke,-0.11,4.08,Rocky,1.29,5.15,Bella,0.23,4.52,Bree,0.0,4.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:13:25,WildRunners dreamers,WildRunners Maximini,17.42,W,25.0,Sunny,0.02,4.25,Dixie,0.15,4.23,Alex,0.34,4.25,Hector,0.0,4.18,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:13:25,WildRunners Maximini,WildRunners dreamers,18.59,L,25.0,Brooke,-0.63,4.25,Rocky,0.79,5.5,Bella,0.16,4.56,Bree,-0.33,4.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:15:06,WildRunners dreamers,WildRunners Maximini,16.73,W,25.0,Sunny,-0.06,4.21,Dixie,-0.19,4.29,Alex,0.12,4.27,Hector,-1.0,4.08,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:15:06,WildRunners Maximini,WildRunners dreamers,18.01,L,25.0,Brooke,-0.59,4.28,Rocky,0.54,5.16,Bella,-1.0,4.57,Bree,-0.17,4.22,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:37:19,WildRunners hopefuls,FOFR DOG,16.14,L,27.5,Enola,0.2,3.87,Maggie,0.13,3.97,Tyna,-1.0,4.1,Moon,-1.0,3.87,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:37:19,FOFR DOG,WildRunners hopefuls,18.43,L,22.5,Hessie,-0.06,4.76,Dizzy,0.0,4.41,Tex,0.32,3.85,Ogi,0.36,4.78,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:38:44,WildRunners hopefuls,FOFR DOG,16.27,L,27.5,Enola,0.12,3.93,Maggie,0.16,4.0,Tyna,0.12,4.08,Moon,-1.0,3.87,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:38:44,FOFR DOG,WildRunners hopefuls,18.43,W,22.5,Hessie,0.28,4.69,Dizzy,0.0,4.42,Tex,0.46,3.83,Ogi,0.0,4.75,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:40:15,WildRunners hopefuls,FOFR DOG,16.24,L,27.5,Enola,0.13,3.89,Maggie,-1.0,4.02,Tyna,0.0,4.11,Moon,0.2,3.91,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:40:15,FOFR DOG,WildRunners hopefuls,27.51,W,22.5,Hessie,0.43,4.72,Dizzy,0.0,4.41,Tex,0.31,3.92,Ogi,0.18,4.72,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:49:45,FOFR DOG future,WildRunners XXL,32.79,W,22.5,Ela,0.15,4.19,Lenny,-1.0,4.88,Elli,0.42,4.91,Sigy,0.77,5.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:49:45,WildRunners XXL,FOFR DOG future,38.16,L,15.0,Dusty,0.85,6.07,Gordon,0.48,6.9,Agnes,1.13,4.76,Angie,0.7,5.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:51:02,FOFR DOG future,WildRunners XXL,20.32,W,22.5,Ela,0.15,4.24,Lenny,0.0,4.41,Elli,0.33,5.05,Sigy,0.95,5.21,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:51:02,WildRunners XXL,FOFR DOG future,25.01,L,15.0,Dusty,0.5,6.18,Gordon,0.3,6.71,Agnes,1.02,4.75,Angie,0.45,5.1,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:53:04,FOFR DOG future,WildRunners XXL,63.85,L,22.5,Ela,0.26,4.21,Lenny,-1.0,4.21,Elli,-1.0,5.0,Sigy,0.67,5.11,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:53:04,WildRunners XXL,FOFR DOG future,37.64,W,15.0,Jasper,1.28,,Gordon,-1.0,6.68,Agnes,0.61,4.56,Angie,0.43,5.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:54:28,FOFR DOG future,WildRunners XXL,20.06,W,22.5,Ela,0.15,4.21,Lenny,0.0,4.17,Elli,0.64,4.98,Sigy,0.74,5.17,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:54:28,WildRunners XXL,FOFR DOG future,35.61,L,15.0,Jasper,0.21,5.45,Gordon,0.67,6.86,Agnes,0.61,4.64,Angie,-1.0,,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:03:07,WildRunners Zephyr,Hopíci Brno,22.5,W,27.5,Falco,0.04,4.29,Negro,1.87,4.74,Mason,-1.0,5.01,Hank,1.85,4.68,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:03:07,Hopíci Brno,WildRunners Zephyr,23.89,L,17.5,Estee,0.25,4.34,Zelí,0.96,4.96,Dex,2.24,4.4,Tarry,1.67,5.06,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:04:21,WildRunners Zephyr,Hopíci Brno,20.95,W,27.5,Falco,0.16,4.19,Negro,1.69,4.78,Mason,0.0,4.97,Hank,0.51,4.66,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:04:21,Hopíci Brno,WildRunners Zephyr,22.6,L,17.5,Estee,0.26,4.23,Zelí,0.99,5.0,Dex,1.87,4.57,Tarry,0.78,4.89,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:08:11,WildRunners Zephyr,Hopíci Brno,38.95,L,27.5,Negro,-0.17,4.62,Mason,-1.0,5.12,Hank,0.26,4.72,Ted,24.41,,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:08:11,Hopíci Brno,WildRunners Zephyr,36.1,W,17.5,Estee,0.18,6.47,Zelí,1.35,4.92,Dex,-0.16,4.63,Tarry,2.07,5.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:09:37,WildRunners Zephyr,Hopíci Brno,32.83,L,27.5,Negro,0.06,4.8,Mason,-1.0,4.91,Hank,0.24,4.75,Ted,12.98,5.1,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:09:37,Hopíci Brno,WildRunners Zephyr,39.25,W,17.5,Estee,0.45,4.79,Zelí,0.51,5.32,Dex,1.32,4.77,Tarry,1.0,5.12,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 11:20:52,WildRunners Maximini,WildRunners Nightfall,23.83,W,25.0,Brooke,0.17,4.26,Bella,1.92,4.95,Bree,1.65,4.16,Bruno,1.96,4.76,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 11:23:20,WildRunners Maximini,WildRunners Nightfall,19.97,W,25.0,Brooke,0.12,4.24,Bella,1.01,4.17,Bree,0.54,4.65,Bruno,0.59,4.65,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 11:23:20,WildRunners Nightfall,WildRunners Maximini,42.97,L,25.0,Sirius,0.61,4.74,Dexter,0.75,4.18,Bonnie,0.0,4.17,Pax,6.84,4.29,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 11:24:51,WildRunners Maximini,WildRunners Nightfall,19.68,W,25.0,Brooke,0.19,4.23,Bella,0.78,4.17,Bree,0.55,4.77,Bruno,0.43,4.56,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 11:24:51,WildRunners Nightfall,WildRunners Maximini,38.72,L,25.0,Sirius,0.53,4.75,Dexter,0.45,4.19,Bonnie,-1.0,4.1,Pax,7.36,5.18,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 11:31:56,FOFR DOG,WildRunners dreamers,28.03,L,22.5,Hessie,0.1,4.58,Dizzy,0.29,4.32,Daggry,0.22,3.81,Ogi,0.11,4.84,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 11:31:56,WildRunners dreamers,FOFR DOG,17.21,W,25.0,Sunny,0.05,4.29,Dixie,0.0,4.3,Alfie,0.35,3.95,Alex,0.0,4.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 11:33:06,FOFR DOG,WildRunners dreamers,18.26,L,22.5,Hessie,0.19,4.64,Dizzy,0.2,4.28,Daggry,0.0,3.89,Ogi,0.26,4.79,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 11:33:06,WildRunners dreamers,FOFR DOG,16.85,W,25.0,Sunny,0.06,4.11,Dixie,0.0,4.39,Alfie,0.0,3.9,Alex,0.16,4.24,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 11:34:27,FOFR DOG,WildRunners dreamers,17.86,L,22.5,Hessie,0.17,4.66,Dizzy,0.14,4.32,Daggry,-0.11,3.85,Ogi,0.0,4.83,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 11:34:27,WildRunners dreamers,FOFR DOG,17.01,W,25.0,Sunny,0.14,4.08,Dixie,0.0,4.33,Alfie,0.15,3.87,Alex,0.23,4.21,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:45:05,WildRunners Zephyr,FOFR DOG future,23.0,L,27.5,Falco,-0.88,4.01,Mason,0.36,4.73,Hank,0.35,4.75,Ted,9.67,,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:45:05,FOFR DOG future,WildRunners Zephyr,21.56,W,22.5,Ela,0.11,4.21,Lenny,0.0,6.05,Elli,0.16,5.26,Sigy,0.64,5.12,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:46:37,WildRunners Zephyr,FOFR DOG future,21.95,L,27.5,Falco,0.15,4.01,Mason,0.48,4.81,Hank,0.27,4.69,Ted,7.53,,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:46:37,FOFR DOG future,WildRunners Zephyr,19.59,W,22.5,Ela,0.17,4.22,Lenny,0.0,4.39,Elli,0.0,5.1,Sigy,0.56,5.16,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:51:12,WildRunners Zephyr,FOFR DOG future,32.14,L,27.5,Falco,-0.01,4.09,Negro,1.04,4.82,Hank,0.0,4.73,Ted,12.52,4.96,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:51:12,FOFR DOG future,WildRunners Zephyr,40.26,W,22.5,Ela,0.15,4.16,Lenny,-1.0,4.46,Elli,1.07,5.23,Sigy,3.97,4.96,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 12:00:29,Hopíci Brno,WildRunners XXL,23.61,W,17.5,Estee,0.25,5.3,Zelí,1.18,5.23,Dex,1.25,4.47,Tarry,0.91,5.01,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 12:00:29,WildRunners XXL,Hopíci Brno,86.03,L,15.0,Bailey,0.66,5.12,Gordon,1.13,6.74,Jasper,0.24,5.84,Angie,0.85,11.76,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 12:01:52,Hopíci Brno,WildRunners XXL,22.79,W,17.5,Estee,0.58,4.37,Zelí,1.01,5.34,Dex,1.13,4.51,Tarry,0.79,5.07,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 12:01:52,WildRunners XXL,Hopíci Brno,28.45,L,15.0,Bailey,0.48,5.5,Gordon,0.58,6.98,Jasper,0.0,9.14,Angie,0.65,5.12,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 12:03:23,Hopíci Brno,WildRunners XXL,22.17,W,17.5,Estee,0.35,4.35,Zelí,0.72,5.18,Dex,1.08,4.59,Tarry,0.84,5.06,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 12:03:23,WildRunners XXL,Hopíci Brno,24.29,L,15.0,Bailey,0.17,5.6,Gordon,0.36,6.91,Jasper,0.64,4.69,Agnes,0.36,5.58,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 12:04:58,Hopíci Brno,WildRunners XXL,21.69,W,17.5,Estee,0.17,4.38,Zelí,0.54,5.23,Dex,0.96,4.66,Tarry,0.61,5.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 12:04:58,WildRunners XXL,Hopíci Brno,24.64,L,15.0,Bailey,0.06,6.24,Gordon,0.39,7.25,Jasper,-0.57,,Agnes,-1.0,4.69,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 15:06:40,WildRunners Nightfall,WildRunners hopefuls,20.3,W,25.0,Fleur,0.2,4.54,Dexter,0.0,4.78,Bonnie,0.26,4.22,Sirius,2.17,4.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 15:06:40,WildRunners hopefuls,WildRunners Nightfall,15.78,L,27.5,Enola,0.1,3.89,Maggie,0.0,4.01,Tyna,0.0,3.95,Moon,-1.0,3.84,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 15:08:03,WildRunners Nightfall,WildRunners hopefuls,20.86,W,25.0,Fleur,0.19,4.36,Dexter,0.15,4.75,Bonnie,0.24,4.26,Sirius,2.71,4.2,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 15:08:03,WildRunners hopefuls,WildRunners Nightfall,15.68,L,27.5,Enola,-0.24,3.9,Maggie,-1.0,3.97,Tyna,0.0,4.27,Moon,-0.13,3.92,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 15:09:16,WildRunners Nightfall,WildRunners hopefuls,20.81,L,25.0,Fleur,0.07,4.42,Dexter,0.17,4.76,Bonnie,0.0,4.42,Sirius,2.77,4.2,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 15:09:16,WildRunners hopefuls,WildRunners Nightfall,16.54,W,27.5,Enola,0.25,3.95,Maggie,0.0,4.09,Tyna,0.0,4.15,Moon,0.19,3.92,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 15:15:43,WildRunners Maximini,FOFR DOG,19.24,L,27.5,Brooke,0.05,4.27,Rocky,0.44,5.12,Bree,0.0,4.23,Bruno,0.45,4.68,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 15:15:43,FOFR DOG,WildRunners Maximini,18.44,W,22.5,Hessie,0.18,4.64,Dizzy,0.22,4.34,Tex,0.15,3.87,Ogi,0.15,4.89,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 15:17:09,WildRunners Maximini,FOFR DOG,18.79,L,27.5,Brooke,-0.09,4.28,Rocky,0.15,5.14,Bree,0.18,4.2,Bruno,0.19,4.75,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 15:17:09,FOFR DOG,WildRunners Maximini,18.51,W,22.5,Hessie,0.19,4.62,Dizzy,0.13,4.32,Tex,0.33,3.93,Ogi,0.2,4.79,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 15:18:20,WildRunners Maximini,FOFR DOG,19.34,W,27.5,Brooke,0.81,4.3,Rocky,0.0,5.3,Bree,0.0,4.29,Bruno,0.0,4.64,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 15:18:20,FOFR DOG,WildRunners Maximini,25.65,L,22.5,Hessie,0.07,4.68,Dizzy,0.0,4.38,Tex,0.18,3.96,Ogi,0.15,4.78,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:38:08,WildRunners XXL,WildRunners Zephyr,68.51,L,27.5,Bailey,-0.27,6.16,Agnes,6.49,5.25,Jasper,0.99,7.99,Angie,0.8,5.46,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:38:08,WildRunners Zephyr,WildRunners XXL,60.93,W,27.5,Falco,0.004,4.13,Negro,0.99,5.28,Hank,0.7,4.72,Ted,17.78,4.76,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:40:15,WildRunners XXL,WildRunners Zephyr,58.66,W,27.5,Bailey,-0.2,4.95,Agnes,2.81,5.16,Jasper,2.27,6.58,Angie,0.93,5.57,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:40:15,WildRunners Zephyr,WildRunners XXL,66.49,L,27.5,Falco,-0.09,4.19,Negro,1.04,5.43,Hank,1.75,4.74,Ted,11.96,,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:42:43,WildRunners XXL,WildRunners Zephyr,28.79,L,27.5,Bailey,0.28,4.76,Agnes,4.2,6.91,Jasper,1.23,4.76,Angie,0.58,6.07,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:42:43,WildRunners Zephyr,WildRunners XXL,29.46,W,27.5,Falco,0.03,4.42,Negro,1.08,5.09,Mason,-0.15,4.69,Hank,1.01,4.75,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:44:06,WildRunners XXL,WildRunners Zephyr,26.12,W,27.5,Bailey,0.2,4.94,Agnes,1.15,6.82,Jasper,0.71,4.75,Angie,1.55,6.01,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:44:06,WildRunners Zephyr,WildRunners XXL,38.19,L,27.5,Falco,0.25,4.33,Negro,0.8,5.64,Mason,-1.0,4.84,Hank,1.09,5.0,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:50:40,Hopíci Brno,FOFR DOG future,22.17,W,17.5,Estee,0.41,4.36,Zelí,0.22,5.16,Dex,1.68,4.42,Tarry,0.79,5.15,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:50:40,FOFR DOG future,Hopíci Brno,30.45,L,22.5,Ela,0.13,4.24,Lenny,-1.0,5.66,Elli,0.77,5.15,Sigy,0.34,5.02,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:52:11,Hopíci Brno,FOFR DOG future,21.81,W,17.5,Estee,0.33,4.33,Zelí,0.35,5.3,Dex,0.94,4.54,Tarry,0.94,5.08,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:52:11,FOFR DOG future,Hopíci Brno,28.58,L,22.5,Ela,0.16,4.31,Lenny,-1.0,4.84,Elli,0.66,5.31,Sigy,0.41,5.03,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:54:04,Hopíci Brno,FOFR DOG future,22.26,W,17.5,Estee,0.22,4.3,Zelí,0.45,5.2,Dex,1.44,4.68,Tarry,0.57,5.39,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:54:04,FOFR DOG future,Hopíci Brno,50.05,L,22.5,Ela,0.11,4.36,Lenny,0.14,4.28,Elli,0.41,5.11,Sigy,0.34,5.27,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 15:55:37,Hopíci Brno,FOFR DOG future,22.08,W,17.5,Estee,0.15,4.39,Zelí,0.34,5.65,Dex,1.1,4.68,Tarry,0.58,5.21,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 15:55:37,FOFR DOG future,Hopíci Brno,38.5,L,22.5,Ela,0.05,4.23,Lenny,0.18,4.18,Elli,0.34,5.1,Sigy,-1.0,,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:04:06,WildRunners Nightfall,WildRunners dreamers,18.83,W,25.0,Fleur,0.33,4.3,Dexter,0.34,4.9,Bonnie,0.34,4.24,Pax,0.25,4.13,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:04:06,WildRunners dreamers,WildRunners Nightfall,16.46,L,25.0,Sunny,0.14,4.02,Dixie,0.0,4.21,Alfie,-1.0,3.87,Hector,0.22,4.0,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:05:23,WildRunners Nightfall,WildRunners dreamers,17.75,L,25.0,Fleur,-0.07,4.39,Dexter,0.0,4.97,Bonnie,-1.0,,Pax,0.0,4.24,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:05:23,WildRunners dreamers,WildRunners Nightfall,16.73,W,25.0,Sunny,0.07,4.16,Dixie,0.0,4.3,Alfie,0.22,3.91,Hector,0.0,4.08,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:12:09,WildRunners Nightfall,WildRunners dreamers,37.88,L,25.0,Fleur,0.3,4.46,Dexter,0.0,5.74,Bonnie,1.54,4.25,Pax,0.15,4.07,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:12:09,WildRunners dreamers,WildRunners Nightfall,17.66,W,25.0,Sunny,0.35,4.2,Dixie,0.37,4.38,Alfie,0.0,4.05,Hector,0.18,4.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:13:09,WildRunners Nightfall,WildRunners dreamers,18.29,W,25.0,Fleur,0.05,4.4,Dexter,0.29,4.98,Bonnie,0.0,4.36,Pax,0.15,4.06,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:13:09,WildRunners dreamers,WildRunners Nightfall,16.43,L,25.0,Sunny,-0.12,4.09,Dixie,-1.0,4.39,Alfie,0.0,4.04,Hector,-0.12,4.15,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:20:32,WildRunners hopefuls,WildRunners Maximini,22.69,W,27.5,Enola,0.18,3.9,Maggie,0.29,3.99,Tyna,0.14,3.92,Moon,-1.0,3.92,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:20:32,WildRunners Maximini,WildRunners hopefuls,18.9,L,25.0,Brooke,-0.21,4.39,Rocky,0.0,5.35,Bruno,0.0,4.64,Bella,0.21,4.53,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:21:59,WildRunners hopefuls,WildRunners Maximini,16.01,L,27.5,Enola,0.15,3.91,Maggie,0.0,4.09,Tyna,0.0,3.99,Moon,-1.0,3.87,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:21:59,WildRunners Maximini,WildRunners hopefuls,36.43,L,25.0,Brooke,0.55,4.31,Rocky,0.51,5.46,Bruno,-0.23,4.92,Bella,0.0,4.68,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 16:23:18,WildRunners hopefuls,WildRunners Maximini,16.4,W,27.5,Enola,0.16,3.98,Maggie,0.0,4.16,Tyna,0.0,4.1,Moon,0.14,3.87,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 16:23:18,WildRunners Maximini,WildRunners hopefuls,21.2,L,25.0,Brooke,-0.16,5.58,Rocky,0.54,5.47,Bruno,0.21,4.88,Bella,0.0,4.69,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 17:02:46,FOFR DOG,WildRunners Nightfall,18.22,L,22.5,Hessie,-0.38,4.69,Dizzy,0.25,4.78,Daggry,0.0,3.88,Ogi,0.17,4.84,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 17:02:46,WildRunners Nightfall,FOFR DOG,19.7,L,25.0,Fleur,0.05,4.4,Bonnie,0.69,4.25,Pax,0.0,4.24,Sirius,6.07,,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 17:03:58,FOFR DOG,WildRunners Nightfall,18.37,W,22.5,Hessie,0.06,4.63,Dizzy,0.14,4.5,Daggry,0.19,3.82,Ogi,0.0,5.04,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 17:03:58,WildRunners Nightfall,FOFR DOG,20.64,L,25.0,Fleur,0.21,4.41,Bonnie,0.54,4.23,Pax,0.0,4.14,Sirius,2.71,4.41,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 17:05:23,FOFR DOG,WildRunners Nightfall,18.58,W,22.5,Hessie,0.31,4.6,Dizzy,0.17,4.48,Daggry,0.0,3.94,Ogi,0.17,4.92,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 17:05:23,WildRunners Nightfall,FOFR DOG,23.0,L,25.0,Fleur,-0.04,4.37,Bonnie,0.0,4.3,Pax,0.0,4.13,Sirius,5.45,4.79,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 17:14:22,WildRunners dreamers,WildRunners hopefuls,16.53,L,25.0,Dixie,0.08,4.14,Alfie,0.0,3.95,Alex,0.12,4.18,Hector,-1.0,4.06,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 17:14:22,WildRunners hopefuls,WildRunners dreamers,16.4,L,27.5,Enola,0.12,3.96,Moon,0.17,3.94,Maggie,0.23,3.9,Tyna,-1.0,4.08,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 17:15:50,WildRunners dreamers,WildRunners hopefuls,30.26,L,25.0,Dixie,0.12,4.32,Alfie,13.35,4.07,Alex,0.0,4.24,Hector,-1.0,4.15,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 17:15:50,WildRunners hopefuls,WildRunners dreamers,16.45,L,27.5,Enola,0.14,3.95,Moon,-1.0,3.87,Maggie,0.28,4.06,Tyna,0.0,4.15,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 17:17:12,WildRunners dreamers,WildRunners hopefuls,19.56,L,25.0,Dixie,0.05,4.31,Alfie,2.67,3.93,Alex,0.0,4.36,Hector,0.0,4.24,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 17:17:12,WildRunners hopefuls,WildRunners dreamers,16.31,W,27.5,Enola,0.14,3.97,Moon,0.0,4.02,Maggie,0.0,3.98,Tyna,0.23,3.97,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 09:06:03,WildRunners Nightfall,WildRunners Maximini,19.43,W,25.0,Fleur,0.42,4.32,Dexter,1.08,4.67,Bonnie,0.65,4.22,Pax,0.0,4.08,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 09:06:03,WildRunners Maximini,WildRunners Nightfall,19.61,L,25.0,Rocky,0.44,5.08,Bree,0.0,4.38,Bruno,0.21,4.58,Bella,0.22,4.7,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 09:07:34,WildRunners Nightfall,WildRunners Maximini,27.09,W,25.0,Fleur,0.15,4.43,Dexter,0.26,4.78,Bonnie,-0.18,4.24,Pax,0.0,4.12,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 09:07:34,WildRunners Maximini,WildRunners Nightfall,30.58,L,25.0,Rocky,0.25,5.0,Bree,0.23,4.24,Bruno,-1.0,4.55,Bella,0.48,4.65,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
