division,when,team1,team2,time_tot,win,hurdles,name1,start_chng1,time1,name2,start_chng2,time2,name3,start_chng3,time3,name4,start_chng4,time4,event,course_color
11,2020-01-01 15:23:09,Roadrunners Rockets,Yelly BEAST,19.72,W,25.0,Oswin,0.09,4.34,Djazz,0.66,4.97,Thygo,0.14,4.37,Rusko,0.29,4.86,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:24:47,Roadrunners Rockets,Yelly BEAST,20.51,W,25.0,Oswin,0.14,4.26,Djazz,0.32,4.92,Thygo,0.34,4.63,Rusko,1.03,4.87,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:29:39,BomBallance Flyball Team,Akela Force,18.74,L,22.5,Panka,0.0,4.68,Fleche,0.29,4.31,Simon,0.15,5.03,Koni,0.12,4.16,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:29:39,Akela Force,BomBallance Flyball Team,19.3,W,20.0,Maya,0.16,4.06,Bodza,0.0,4.79,Flash,0.14,4.29,Ében,0.46,5.4,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:31:24,BomBallance Flyball Team,Akela Force,19.28,W,22.5,Panka,0.14,4.89,Fleche,0.0,4.48,Simon,0.26,5.17,Koni,0.17,4.18,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:31:24,Akela Force,BomBallance Flyball Team,18.63,L,20.0,Maya,0.08,4.19,Bodza,-1.0,4.8,Flash,0.0,4.27,Ében,-1.0,5.29,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:32:42,BomBallance Flyball Team,Akela Force,18.86,W,22.5,Panka,0.03,4.74,Fleche,0.13,4.39,Simon,0.17,5.08,Koni,0.12,4.19,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:32:42,Akela Force,BomBallance Flyball Team,19.68,L,20.0,Maya,0.1,4.19,Bodza,0.16,4.84,Flash,0.16,4.42,Ében,0.33,5.48,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:34:21,BomBallance Flyball Team,Akela Force,18.72,L,22.5,Panka,0.04,4.84,Fleche,0.0,4.58,Simon,0.0,5.24,Koni,-0.16,4.18,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:34:21,Akela Force,BomBallance Flyball Team,19.09,W,20.0,Bandita,0.08,3.8,Bodza,0.22,4.94,Flash,0.0,4.41,Ében,0.16,5.48,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:35:44,BomBallance Flyball Team,Akela Force,20.04,L,22.5,Panka,0.19,4.83,Fleche,0.58,4.49,Simon,0.31,5.06,Koni,0.34,4.25,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:35:44,Akela Force,BomBallance Flyball Team,19.35,W,20.0,Bandita,-0.03,3.92,Bodza,0.0,5.02,Flash,0.13,4.4,Ében,0.53,5.37,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:40:15,Running Borders 2,Wing BEAST,19.39,L,25.0,Nacho,-0.04,4.6,Sammy,0.16,4.39,Janis,0.25,5.15,Trouble,0.0,4.89,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:40:15,Wing BEAST,Running Borders 2,18.9,W,15.0,Amy,0.15,4.19,Brooklyn,0.42,3.79,Evora,0.22,4.02,Joker,0.35,5.77,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:41:23,Running Borders 2,Wing BEAST,19.11,L,25.0,Nacho,0.08,4.58,Sammy,0.16,4.45,Janis,0.0,5.0,Trouble,0.0,4.85,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:41:23,Wing BEAST,Running Borders 2,19.1,W,15.0,Amy,0.14,4.29,Brooklyn,0.0,3.91,Evora,0.13,4.14,Joker,0.68,5.81,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:42:44,Running Borders 2,Wing BEAST,19.25,L,25.0,Nacho,0.05,4.64,Janis,0.27,4.88,Ouzo,0.0,4.48,Trouble,0.16,4.78,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:42:44,Wing BEAST,Running Borders 2,18.57,W,15.0,Amy,0.07,4.31,Brooklyn,0.24,3.87,Evora,0.1,4.08,Joker,0.19,5.69,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:46:20,What The Fractal,Be Quickstep!,18.22,L,15.0,Kodi,0.21,4.16,Thor,0.0,4.53,Fuks,0.0,4.94,Lucyfer,0.0,4.38,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:46:20,Be Quickstep!,What The Fractal,19.46,W,17.5,Chulo,0.11,4.87,Skipper,0.25,4.86,Yuma,0.28,4.54,Yummy,0.32,4.24,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:47:47,What The Fractal,Be Quickstep!,18.45,L,15.0,Kodi,0.13,4.75,Thor,-0.42,4.6,Fuks,0.0,4.95,Lucyfer,0.0,4.43,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:47:47,Be Quickstep!,What The Fractal,19.24,W,17.5,Chulo,0.07,5.05,Skipper,0.0,4.95,Yuma,0.3,4.51,Yummy,0.0,4.37,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:49:05,What The Fractal,Be Quickstep!,18.82,L,15.0,Kodi,0.31,4.24,Thor,0.38,4.6,Fuks,-0.12,4.96,Lucyfer,0.0,4.45,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:49:05,Be Quickstep!,What The Fractal,19.57,W,17.5,Chulo,0.12,4.97,Skipper,0.0,4.88,Yuma,0.33,4.49,Yummy,0.38,4.39,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:54:56,Real Ballance Flyball Team,WildRunners Zephyr,21.18,L,17.5,Chase,-0.03,4.35,Rubble,0.13,6.41,Zuma,0.17,5.08,Marshall,0.24,4.81,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:54:56,WildRunners Zephyr,Real Ballance Flyball Team,23.21,W,25.0,Brix,0.09,4.44,Them,0.58,5.13,Negro,0.6,5.0,Speedy,1.92,5.46,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:57:08,Real Ballance Flyball Team,WildRunners Zephyr,20.53,L,17.5,Chase,0.26,4.54,Rubble,0.29,5.01,Zuma,0.0,5.1,Marshall,0.25,5.09,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:57:08,WildRunners Zephyr,Real Ballance Flyball Team,22.3,W,25.0,Brix,0.1,4.48,Them,0.21,5.17,Negro,0.63,5.0,Speedy,1.32,5.39,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:59:02,Real Ballance Flyball Team,WildRunners Zephyr,20.07,W,17.5,Chase,0.05,4.4,Rubble,0.18,5.05,Zuma,0.15,5.16,Marshall,0.0,5.08,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:59:02,WildRunners Zephyr,Real Ballance Flyball Team,21.32,L,25.0,Brix,0.29,4.54,Them,0.0,5.49,Negro,0.16,4.81,Speedy,0.38,5.65,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 16:00:18,Real Ballance Flyball Team,WildRunners Zephyr,20.53,W,17.5,Chase,0.28,4.48,Rubble,0.15,5.04,Zuma,0.16,5.25,Marshall,0.0,5.16,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 16:00:18,WildRunners Zephyr,Real Ballance Flyball Team,21.66,L,25.0,Brix,0.19,4.62,Them,0.39,5.51,Negro,0.0,5.0,Speedy,0.31,5.65,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 16:01:47,Real Ballance Flyball Team,WildRunners Zephyr,23.14,W,17.5,Chase,0.23,4.42,Rubble,0.27,5.02,Zuma,0.21,5.31,Marshall,2.35,5.33,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 16:01:47,WildRunners Zephyr,Real Ballance Flyball Team,29.87,L,25.0,Brix,0.16,4.61,Them,0.23,5.56,Negro,-0.21,5.06,Speedy,0.25,5.88,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:09:29,JokerZ Sun,The Green Chasers,19.9,L,17.5,Giny,0.19,4.2,Kleo,0.36,4.25,Keru,0.26,5.52,Taz,0.17,4.95,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:10:41,JokerZ Sun,The Green Chasers,19.67,L,17.5,Giny,0.11,4.36,Kleo,0.32,4.28,Keru,0.44,4.78,Taz,0.3,5.07,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:11:49,JokerZ Sun,The Green Chasers,18.81,L,17.5,Giny,-0.08,4.39,Kleo,0.0,4.19,Keru,0.17,4.98,Taz,0.0,5.17,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:18:15,BomBallance Flyball Team,Roadrunners Rockets,19.47,W,22.5,Panka,0.09,4.89,Fleche,0.34,4.58,Simon,0.24,5.06,Koni,0.0,4.28,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:18:15,Roadrunners Rockets,BomBallance Flyball Team,19.69,L,25.0,Oswin,0.08,4.33,Djazz,0.2,5.05,Thygo,0.3,4.51,Rusko,0.15,5.07,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:19:27,BomBallance Flyball Team,Roadrunners Rockets,19.25,W,22.5,Panka,0.08,5.02,Fleche,0.18,4.47,Simon,0.0,5.08,Koni,0.2,4.24,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:19:27,Roadrunners Rockets,BomBallance Flyball Team,19.0,L,25.0,Oswin,0.1,4.32,Djazz,0.0,4.79,Thygo,-1.0,4.65,Rusko,0.0,5.14,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:21:57,BomBallance Flyball Team,Roadrunners Rockets,27.26,W,22.5,Panka,0.1,4.9,Fleche,0.0,4.43,Simon,0.16,5.15,Koni,-0.19,4.26,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 16:21:57,Roadrunners Rockets,BomBallance Flyball Team,15.07,L,25.0,Djazz,0.1,4.85,Thygo,0.23,4.6,Rusko,0.21,5.42,Vada,-0.32,,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:51:28,Skyball Phoenix,DumbleDogs G,19.33,L,17.5,Rafael,0.003,4.35,Hexe,0.16,4.22,Eryn,0.0,4.4,Manci,0.0,6.2,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:51:28,DumbleDogs G,Skyball Phoenix,18.59,W,22.5,Enjoy,0.16,4.5,Evelyn,0.0,4.12,Kiwi,0.44,4.52,Corri,0.0,4.85,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:52:41,Skyball Phoenix,DumbleDogs G,19.02,L,17.5,Rafael,0.11,4.32,Hexe,0.18,4.31,Eryn,0.0,4.49,Manci,0.16,5.44,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:52:41,DumbleDogs G,Skyball Phoenix,18.88,W,22.5,Enjoy,0.1,4.6,Evelyn,0.0,4.28,Kiwi,0.35,4.5,Corri,0.23,4.81,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:53:57,Skyball Phoenix,DumbleDogs G,18.07,L,17.5,Rafael,0.01,4.42,Hexe,0.0,4.37,Eryn,-0.12,4.38,Manci,0.0,5.01,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:53:57,DumbleDogs G,Skyball Phoenix,19.0,W,22.5,Enjoy,0.15,4.47,Evelyn,0.0,4.16,Kiwi,0.23,4.39,Corri,0.63,4.98,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:58:26,Wing BEAST,Be Quickstep!,20.03,L,15.0,Amy,0.15,4.28,Brooklyn,0.19,4.25,Evora,0.18,4.27,Joker,0.25,6.48,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:58:26,Be Quickstep!,Wing BEAST,19.34,W,17.5,Chulo,0.16,4.99,Skipper,0.22,4.81,Yuma,0.22,4.51,Yummy,0.0,4.44,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:59:57,Wing BEAST,Be Quickstep!,18.19,L,20.0,Amy,0.15,4.34,Brooklyn,0.13,3.89,Blizzard,0.2,5.13,Evora,0.24,4.11,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 16:59:57,Be Quickstep!,Wing BEAST,19.23,W,17.5,Chulo,0.1,5.06,Skipper,0.25,4.77,Yuma,0.0,4.61,Yummy,0.23,4.22,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 17:01:28,Wing BEAST,Be Quickstep!,18.93,W,15.0,Amy,0.11,4.32,Brooklyn,0.14,3.92,Evora,0.0,4.27,Joker,0.19,5.98,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 17:01:28,Be Quickstep!,Wing BEAST,19.23,L,17.5,Chulo,0.12,4.95,Skipper,0.0,5.15,Yuma,0.13,4.54,Yummy,0.0,4.35,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 17:02:39,Wing BEAST,Be Quickstep!,18.8,L,15.0,Amy,0.007,4.3,Brooklyn,0.13,3.95,Evora,0.17,4.18,Joker,0.0,6.07,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 17:02:39,Be Quickstep!,Wing BEAST,19.26,W,17.5,Chulo,0.07,5.11,Skipper,0.0,5.03,Yuma,0.0,4.58,Yummy,0.0,4.48,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:06:21,Real Ballance Flyball Team,BayernXpress I,22.19,W,17.5,Chase,0.35,4.48,Rubble,0.23,5.16,Zuma,0.3,5.12,Marshall,1.58,4.96,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:06:21,BayernXpress I,Real Ballance Flyball Team,20.18,L,20.0,Filou,0.05,4.95,Sugar,-1.0,4.2,Kasi,0.0,4.99,Pepper,0.95,5.05,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:07:28,Real Ballance Flyball Team,BayernXpress I,20.12,L,17.5,Chase,0.13,4.28,Rubble,0.23,4.99,Zuma,0.3,5.14,Marshall,0.38,4.67,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:07:28,BayernXpress I,Real Ballance Flyball Team,20.26,W,20.0,Filou,0.07,5.06,Sugar,0.0,4.1,Kasi,0.44,5.03,Pepper,0.54,5.01,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:08:54,Real Ballance Flyball Team,BayernXpress I,23.48,W,17.5,Chase,0.11,4.37,Rubble,0.21,5.09,Zuma,0.0,5.22,Marshall,3.37,5.12,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
